fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,pH,sulphates,alcohol,quality
7.0,0.27,0.36,3.0301337002713233,-3.101092789211817,3.8066624897703196,3.0,0.45,8.8,6
6.3,0.3,0.34,0.47000362924573563,-3.0159349808715104,2.6390573296152584,3.3,0.49,9.5,6
8.1,0.28,0.4,1.9315214116032138,-2.995732273553991,3.4011973816621555,3.26,0.44,10.1,6
7.2,0.23,0.32,2.1400661634962708,-2.8473122684357177,3.8501476017100584,3.19,0.4,9.9,6
7.2,0.23,0.32,2.1400661634962708,-2.8473122684357177,3.8501476017100584,3.19,0.4,9.9,6
8.1,0.28,0.4,1.9315214116032138,-2.995732273553991,3.4011973816621555,3.26,0.44,10.1,6
6.2,0.32,0.16,1.9459101490553132,-3.101092789211817,3.4011973816621555,3.18,0.47,9.6,6
7.0,0.27,0.36,3.0301337002713233,-3.101092789211817,3.8066624897703196,3.0,0.45,8.8,6
6.3,0.3,0.34,0.47000362924573563,-3.0159349808715104,2.6390573296152584,3.3,0.49,9.5,6
8.1,0.22,0.43,0.4054651081081644,-3.123565645063876,3.332204510175204,3.22,0.45,11.0,6
8.1,0.27,0.41,0.371563556432483,-3.4112477175156566,2.3978952727983707,2.99,0.56,12.0,5
8.6,0.23,0.4,1.4350845252893227,-3.3524072174927233,2.833213344056216,3.14,0.53,9.7,5
7.9,0.18,0.37,0.1823215567939546,-3.2188758248682006,2.772588722239781,3.18,0.63,10.8,5
6.6,0.16,0.4,0.4054651081081644,-3.123565645063876,3.871201010907891,3.54,0.52,12.4,7
6.6,0.17,0.38,0.4054651081081644,-3.4420193761824103,3.332204510175204,3.25,0.55,11.4,7
6.3,0.48,0.04,0.09531017980432493,-3.079113882493042,3.4011973816621555,3.24,0.36,9.6,6
6.2,0.66,0.48,0.1823215567939546,-3.540459448995663,3.367295829986474,3.33,0.39,12.8,8
7.4,0.34,0.42,0.09531017980432493,-3.4112477175156566,2.833213344056216,3.12,0.53,11.3,6
6.5,0.31,0.14,2.0149030205422647,-3.123565645063876,3.5263605246161616,3.22,0.5,9.5,5
6.2,0.66,0.48,0.1823215567939546,-3.540459448995663,3.367295829986474,3.33,0.39,12.8,8
6.4,0.31,0.38,1.0647107369924282,-3.270169119255751,2.9444389791664403,3.17,0.35,11.0,7
6.8,0.26,0.42,0.5306282510621704,-3.0159349808715104,3.713572066704308,3.47,0.48,10.5,8
7.6,0.67,0.14,0.4054651081081644,-2.603690185777967,3.2188758248682006,3.05,0.51,9.3,5
6.6,0.27,0.41,0.26236426446749106,-2.9565115604007097,2.772588722239781,3.42,0.47,10.0,6
7.0,0.25,0.32,2.1972245773362196,-3.079113882493042,4.02535169073515,3.25,0.5,10.4,6
6.9,0.24,0.35,0.0,-2.9565115604007097,3.5553480614894135,3.45,0.44,10.0,6
7.0,0.28,0.39,2.163323025660538,-2.9759296462578115,3.4657359027997265,3.38,0.53,10.5,6
7.4,0.27,0.48,0.09531017980432493,-3.0576076772720784,2.833213344056216,3.19,0.49,11.6,6
7.2,0.32,0.36,0.6931471805599453,-3.4112477175156566,3.6109179126442243,3.1,0.71,12.3,7
8.5,0.24,0.39,2.341805806147327,-3.123565645063876,2.995732273553991,3.2,0.53,10.0,6
8.3,0.14,0.34,0.09531017980432493,-3.170085660698769,1.9459101490553132,3.47,0.4,10.2,6
7.4,0.25,0.36,0.7178397931503168,-2.995732273553991,3.4339872044851463,3.19,0.44,10.8,6
6.2,0.12,0.34,0.4054651081081644,-3.101092789211817,3.7612001156935624,3.42,0.51,9.0,6
5.8,0.27,0.2,2.7047112998366956,-3.123565645063876,3.091042453358316,3.37,0.37,10.2,5
